id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
168,13-06-85,10:23,10:35,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
169,13-06-85,10:41,10:46,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
170,13-06-85,10:49,11:05,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
171,14-06-85,09:52,10:02,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
172,14-06-85,10:05,10:13,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
173,14-06-85,10:22,10:33,3,3,M2,,,,,,,,,,,,,,,,,,,,,,,,
174,17-06-85,11:44,11:51,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
175,17-06-85,11:54,12:09,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
176,17-06-85,12:19,12:29,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
177,17-06-85,12:31,12:53,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
178,18-06-85,12:01,12:04,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
179,18-06-85,12:06,12:28,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
180,18-06-85,12:39,12:44,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
181,18-06-85,12:46,12:49,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
182,18-06-85,12:50,12:56,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
183,18-06-85,13:02,13:07,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
184,18-06-85,13:08,13:22,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
185,18-06-85,13:34,13:39,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
186,18-06-85,13:40,13:52,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
187,19-06-85,12:11,12:17,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
188,19-06-85,12:19,12:38,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
189,19-06-85,12:51,12:53,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
190,19-06-85,12:55,14:04,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
191,19-06-85,14:11,14:42,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
192,19-06-85,14:54,14:56,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
193,20-06-85,12:46,13:16,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
194,20-06-85,13:26,14:01,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
195,20-06-85,14:09,15:20,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
196,26-06-85,07:30,08:25,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
197,26-06-85,08:38,09:55,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
198,27-06-85,07:47,08:27,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
199,27-06-85,08:37,09:07,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
200,27-06-85,09:20,10:13,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
201,28-06-85,08:12,09:07,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
202,28-06-85,09:16,10:01,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
203,28-06-85,10:13,11:03,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
204,29-06-85,09:10,09:11,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
205,29-06-85,09:20,09:30,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
206,29-06-85,10:00,10:06,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
207,29-06-85,10:14,11:06,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
208,30-06-85,09:54,10:07,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
209,30-06-85,10:32,10:50,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
210,30-06-85,11:00,11:02,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
211,30-06-85,11:10,12:05,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
212,01-07-85,11:08,11:35,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
213,01-07-85,11:46,11:48,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
214,01-07-85,11:53,12:54,3,3,M1,,,,,,,,,,,,,,,,,,,,,,,,
